id,author_last,author_first,author_full_name,title,publisher,publication_year,height_cm,width_cm,depth_cm,binding,page_count,edition_printrun,isbn_asin,editor,contributors,is_signed_inscribed,designer,description,artist_url,publisher_url,collection_grouping,tags,classification,bisac,ddc,location,accession_no,image_url
132,Bolton,Andrew,Andrew Bolton,Punk: Chaos to Couture,Metropolitan Museum of Art,2013,31.8,31.8,3.2,Hardcover,,1st edition,9780300191851,,,false,,,,,,,,,,,,/assets/images/books/Bolton_Punk_Chaos_to_Couture_9780300191851.jpg
133,Bonnin,Sebastien,Sebastien Bonnin,20.000 Leghe Sotto I Mari,Theophile's Papers,2014,30.0,20.3,,Softcover,88,Edition of 500 copies,,,,false,,"Sébastien Bonin's recent work belongs to this movement. Although in the past he has turned his camera to the great landscapes of the American West or to the trivial details of his urban environment, since 2013 the artist has been experimenting since with the photogram technique – considered to be the forerunner of photography – to produce non-figurative photos.",,,,,,,,,"October 29, 2025",/assets/images/books/Bonnin_20_000_Leghe_Sotto_I_Mari.jpg
134,Boone,Will,Will Boone,Pope.L,Andrea Rosen Gallery,2016,,,,Softcover,68,English,,,,false,,,,,,,,,,,,
135,Boone,Will,Will Boone,CAR,Karma,2016,26.7,21.6,,,,700,,,Story by Harry Crews,false,,,,https://karmakarma.org/,,,,,,,,
136,Boone,Will,Will Boone,Prison Rodeo,Karma,2014,,,,Softcover,48,750,9781938560873,,,false,Karma,,,https://karmakarma.org,,,,,,,,
137,Boone,Will,Will Boone,Elvis Presley driving cover,Karma,2014,,,,Softcover,16,"500, English",,,,false,,,,https://karmakarma.org,,,,,,,,
138,Boone,Will,Will Boone,Symbols Zine,,2014,,,,,,,,,,false,,,,,,,,,,,,
139,Borremans,Michaël,Michaël Borremans,Paintings,Hatje Cantz,,,,,,,,,,,false,,,,https://www.hatjecantz.de/,,,,,,,,
140,Borremans,Michaël,Michaël Borremans,The Badgers Song,,,,,,,,,,,,false,,,,,,,,,,,,
141,Borremans,Michaël,Michaël Borremans,Black Mould,David Zwirner Books,2015,23.5,16.5,0.5,Hardcover,48,Reproductions: 35 color,9781941701164,,,true,,"Michaël Borremans: Black Mould documents the artist’s first exhibition at David Zwirner, London in 2015 and his first solo presentation in the city in ten years. This intimately scaled catalogue, which has been designed by the artist in collaboration with Kim Beirnaert, includes 32 small- and large-scale paintings from his new series, most of which feature anonymous, black-robed characters. Alone or in groups, they perform mysterious acts within monochromatic spaces reminiscent of an artist’s barren studio. Seemingly behaving according to a symbolic language of their own, they pose alone or interact in communal dances, with some figures holding torches and others exposed naked from the waist down. Their facelessness opens up ambiguous narrative possibilities, as if they were empty canvases with which to construct meaning. Like archetypes capable of embodying shifting meanings, the blank figures become a mold for the human condition, at once satirical, tragic, humorous and above all, contradictory",,https://www.davidzwirnerbooks.com/,,,,,,,,/assets/images/books/Borremans_Black_Mould_9781941701164.jpg
142,Borruso,Matt,Matt Borruso,Wax House Of Wax,,,,,,,,,,,,false,,,,,,,,,,,,
143,Borruso,Caiti,Caiti Borruso,Untitled Lover Pictures,,,,,,,,,,,,false,,,,,,,,,,,,
144,Bougatsos,Lizzi,Lizzi Bougatsos,Her Perfume Tears,Boo-Hooray w/ Exile Books,2014,,,,,,,,,,true,,,,,,,,,,,,
145,Bourdin,Guy,Guy Bourdin,Polaroids,Xavier Barral,2009,,,,,,,9782915173567,,,false,,,,,,polaroids,,,,,,/assets/images/books/Bourdin_Polaroids_9782915173567.jpg
146,Bourgeois,Lousie,Lousie Bourgeois,Intimate Geometries: The Art and Life of Louise Bourgeois,The Monacelli Press,2016,39.1,30.2,7.1,Hardcover,828,,9781580933636,Robert Storr,,false,,,,,,,,,,,,/assets/images/books/Bourgeois_Intimate_Geometries_The_Art_and_Life_of_Louise_Bo_9781580933636.jpg
147,Bourgeouis,Louise,Louise Bourgeouis,An Unfolding Portrait,MOMA,2017,,,,Hardcover,,,,,,false,,,,,,,,,,,,
148,Bourgeouis,Louise,Louise Bourgeouis,The Spider and the Tapestries,,,,,,,,,,,,false,,,,,,,,,,,,
149,Bownik,,Bownik,Disassembly,U,,,,,,,,,,,false,,,,,,,,,,,,
