id,row_number,title,author,isbn,issues
296,294,Los Angeles Standards,"Desroche, Caroline",9782490140190,missing_cover_image;incomplete_dimensions
297,295,Los Angeles Standards,"Desroche, Caroline & Cyril",9782490140329,missing_cover_image;incomplete_dimensions
298,296,DNL,DNL,,missing_cover_image
299,297,Take a Swing on the Thread of Life,"Dobkowski, Jan",,missing_cover_image
300,298,Go West Young Man,"Doig, Peter",,missing_cover_image
301,299,Blizzard seventy-seven,"Doig, Peter",,missing_cover_image
302,300,Fondazione Bevilacqua La Masa,"Doig, Peter",,missing_cover_image;incomplete_dimensions
303,301,Gold Country Real Estate,"Dooley, Bryan",9782953350685,missing_cover_image;incomplete_dimensions
304,302,Dead Children Playing,"Doonwood, Stanley",,missing_cover_image
305,303,End.,"Doyle, Eamonn",,missing_cover_image
306,304,i,"Doyle, Eamonn",,missing_cover_image
307,305,Painting And Sculpture 2004-2008,"Dunham, Carroll",,missing_cover_image
308,306,Unknown 2 (signed),"Duray, Stéphane",,missing_cover_image
310,307,Moments of Vision: The Stroboscopic Revolution in Photography,"Edgerton, Harold E.",,missing_cover_image
311,308,The Democratic Forest,"Eggleston, William",,missing_cover_image
312,309,For Now,"Eggleston, William",,missing_cover_image
313,310,Los Altos,"Eggleston, William",,missing_cover_image
314,311,The Democratic Forest Selected Works,"Eggleston, William",,missing_cover_image
315,312,At Zenith,"Eggleston, William",,missing_cover_image
316,313,From Black and White to Color,"Eggleston, William",,missing_cover_image
317,314,Drawings by Judith Eisler,"Eisler, Judith",,missing_cover_image
318,315,Arthur Elgort,"Elgort, Arthur",,missing_cover_image
319,316,I Love....,"Elgort, Arthur",,missing_cover_image
320,317,Reality Machines,"Eliasson, Olafur",,missing_cover_image
321,318,Elsewhere,"Elm, Albert",,missing_cover_image
322,319,RIE,"Emery, Lena C.",,missing_cover_image
323,320,Love is What You Want,"Emin, Tracey",,missing_cover_image
324,321,Self/Portrait,"Eng, Teresa",,missing_cover_image
325,322,Revoir,"Engstrom, JH",9789187939167,missing_cover_image
326,323,Ende und Anfang (Early Trips),"Engstrom, JH",979-1092265132,missing_cover_image;incomplete_dimensions
327,324,Langt Fran Stockholm (Far from Stockholm),"Engstrom, JH",,missing_cover_image
328,325,Sketch of Paris,"Engstrom, JH",,missing_cover_image
329,326,[MISSING],"Ensor, James",,missing_title;missing_cover_image
330,327,Rocks and Clouds,"Epstein, Mitch",,missing_cover_image
331,328,New York Arbor,"Epstein, Mitch",,missing_cover_image
332,329,Mitch Epstein State of the Union,"Epstein, Mitch",,missing_cover_image
333,330,Family Business,"Epstein, Mitch",,missing_cover_image
334,331,State of the Union,"Epstein, Mitch",,missing_cover_image
335,332,Berlin,"Epstein, Mitch",,missing_cover_image
336,333,The City,"Epstein, Mitch",,missing_cover_image
337,334,Mitch Epstein: Sunshine Hotel,"Epstein, Mitch",,missing_cover_image
338,335,Work,"Epstein, Mitch",,missing_cover_image
339,336,Elliot Erwitt's Kolor,"Erwitt, Elliott",,missing_cover_image
340,337,Roe Ethridge and Zin Taylor: The Ceremony and the Spirit,"Ethridge, Roe",,missing_cover_image
341,338,Shelter Island by Roe Ethridge,"Ethridge, Roe",,missing_cover_image
342,339,Neighbors,"Ethridge, Roe",,missing_cover_image
343,340,Sacrifice Your Body,"Ethridge, Roe",,missing_cover_image
344,341,"Roe Ethridge: Rockaway, New York","Ethridge, Roe",,missing_cover_image
345,342,Special Guest,"Ethridge, Roe",,missing_cover_image
346,343,Decade by Decade,"Evans, Walker",,missing_cover_image
347,344,Walker Evans Depth of Field,"Evans, Walker",,missing_cover_image
348,345,Throughout the Universe in Perpetuity,"Everett, Daniel",9782369620099,missing_cover_image;incomplete_dimensions
350,347,The Last Son,"Eyes, Hamburger",,missing_cover_image
352,348,L'eclairement,"Faigenbaum, Patrick",,missing_cover_image
353,349,Problems with Decomposition,"Falls, Sam",,missing_cover_image
354,350,Boardwalk,"Farago, Max",,missing_cover_image
356,352,Harun Farocki: Diagrams Images from Ten Films,"Farocki, Harun",,missing_cover_image;incomplete_dimensions
357,353,Wolfgang,"Fathi, David",,missing_cover_image
358,354,Louis Faurer,"Faurer, Louis",,missing_cover_image
359,355,White Shoes,"Faustine, Nona",9781913620516,incomplete_dimensions
360,356,R/Electa,"Feinstein, Rachael",,missing_cover_image
361,357,Album,"Feldmann, Hans-Peter",,missing_cover_image
362,358,Frauen,"Feldmann, Hans-Peter",,missing_cover_image;incomplete_dimensions
363,359,Foto,"Feldmann, Hans-Peter",,missing_cover_image;incomplete_dimensions
365,361,Smoke,"Feldmann, Hans-Peter",,missing_cover_image
366,362,Voyeur 2 (yellow cover),"Feldmann, Hans-Peter",9783883751986,missing_cover_image
367,363,Voyeur (pink cover),"Feldmann, Hans-Peter",,missing_cover_image
368,364,Voyeur 5 (green cover),"Feldmann, Hans-Peter",,missing_cover_image
371,367,Book\Buch #9,"Feldmann, Hans-Peter",,missing_cover_image
372,368,Milky Way,"Ferrane, Vincent",,missing_cover_image
373,369,"Tribeca,10013","Ferrato, Donna",,missing_cover_image
374,370,Gas Stop,"Feund, David",,missing_cover_image
375,371,Hans Feurer,"Feurer, Hans",,missing_cover_image
376,372,[MISSING],"Figgis, Genieve",,missing_title;missing_cover_image
377,373,Something For Lovers,"Figgis, Genieve",,missing_cover_image
378,374,Pools,"Fineman, Craig",,missing_cover_image
379,375,The Beat Poets By Larry Fink,"Fink, Larry",,missing_cover_image
380,376,Paintings (3 books),"Fischer, Urs",,missing_cover_image
381,377,Polyurethane Sculptures,"Fischli; & David Weiss, Peter",,missing_cover_image
382,378,Arthur Elgort,"Fischli; & David Weiss, Peter",,missing_cover_image
383,379,Haus,"Fischli; & David Weiss, Peter",,missing_cover_image
384,380,Flowers and Mushrooms,"Fischli; & David Weiss, Peter",,missing_cover_image
385,381,800 Views of Airports,"Fischli; David Weiss, Peter",9783865609328,incomplete_dimensions
386,382,How to Work Better,"Fischli; David Weiss, Peter",,missing_cover_image
387,383,Peter Fischli David Weiss,"Fischli; David Weiss, Peter",,missing_cover_image
388,384,Flowers and Mushrooms,"Fischli; David Weiss, Peter",,missing_cover_image
389,385,pda,"Fisher, Todd",,missing_cover_image
390,386,Louise Fishman,"Fishman, Louise",,missing_cover_image;incomplete_dimensions
